Fecha;Activos
2024-07-22 00:00:00.000;3367
2024-07-23 00:00:00.000;3365
2024-07-24 00:00:00.000;3368
2024-07-25 00:00:00.000;3347
2024-07-26 00:00:00.000;3341
2024-07-28 00:00:00.000;3341
2024-07-29 00:00:00.000;3340
2024-07-30 00:00:00.000;3338
2024-07-31 00:00:00.000;3338
2024-08-01 00:00:00.000;3342
2024-08-02 00:00:00.000;3342
2024-08-04 00:00:00.000;3342
2024-08-05 00:00:00.000;3344
2024-08-06 00:00:00.000;3345
2024-08-07 00:00:00.000;3344
2024-08-08 00:00:00.000;3344
2024-08-09 00:00:00.000;3347
2024-08-11 00:00:00.000;3347
2024-08-12 00:00:00.000;3349
2024-08-13 00:00:00.000;3348
2024-08-14 00:00:00.000;3354
2024-08-15 00:00:00.000;3353
2024-08-16 00:00:00.000;3358
2024-08-18 00:00:00.000;3358
2024-08-19 00:00:00.000;3360
2024-08-20 00:00:00.000;3363
2024-08-21 00:00:00.000;3363
2024-08-22 00:00:00.000;3361
2024-08-23 00:00:00.000;3359
2024-08-25 00:00:00.000;3359
2024-08-26 00:00:00.000;3340
2024-08-27 00:00:00.000;3335
2024-08-28 00:00:00.000;3337
2024-08-29 00:00:00.000;3334
2024-08-30 00:00:00.000;3334
2024-09-01 00:00:00.000;3334
2024-09-02 00:00:00.000;3334
2024-09-03 00:00:00.000;3334
2024-09-04 00:00:00.000;3336
2024-09-05 00:00:00.000;3335
2024-09-06 00:00:00.000;3339
2024-09-08 00:00:00.000;3339
2024-09-09 00:00:00.000;3338
2024-09-10 00:00:00.000;3336
2024-09-11 00:00:00.000;3338
2024-09-12 00:00:00.000;3339
2024-09-13 00:00:00.000;3338
2024-09-15 00:00:00.000;3338
2024-09-16 00:00:00.000;3337
2024-09-17 00:00:00.000;3338
2024-09-18 00:00:00.000;3337
2024-09-19 00:00:00.000;3335
2024-09-20 00:00:00.000;3335
2024-09-22 00:00:00.000;3335
2024-09-23 00:00:00.000;3333
2024-09-24 00:00:00.000;3313
2024-09-25 00:00:00.000;3312
2024-09-26 00:00:00.000;3315
2024-09-27 00:00:00.000;3315
2024-09-29 00:00:00.000;3315
2024-09-30 00:00:00.000;3318
2024-10-01 00:00:00.000;3321
2024-10-02 00:00:00.000;3316
2024-10-03 00:00:00.000;3319
2024-10-04 00:00:00.000;3322
2024-10-06 00:00:00.000;3322
2024-10-07 00:00:00.000;3323
2024-10-08 00:00:00.000;3324
2024-10-09 00:00:00.000;3328
2024-10-10 00:00:00.000;3328
2024-10-11 00:00:00.000;3329
2024-10-13 00:00:00.000;3329
2024-10-14 00:00:00.000;3331
2024-10-15 00:00:00.000;3331
2024-10-16 00:00:00.000;3328
2024-10-17 00:00:00.000;3327
2024-10-18 00:00:00.000;3326
2024-10-20 00:00:00.000;3326
2024-10-21 00:00:00.000;3328
2024-10-22 00:00:00.000;3327
2024-10-23 00:00:00.000;3327
2024-10-24 00:00:00.000;3325
2024-10-25 00:00:00.000;3321
2024-10-27 00:00:00.000;3321
2024-10-28 00:00:00.000;3289
2024-10-29 00:00:00.000;3290
2024-10-30 00:00:00.000;3291
2024-10-31 00:00:00.000;3292
2024-11-01 00:00:00.000;3290
2024-11-03 00:00:00.000;3290
2024-11-04 00:00:00.000;3294
2024-11-05 00:00:00.000;3295
2024-11-06 00:00:00.000;3300
2024-11-07 00:00:00.000;3301
2024-11-08 00:00:00.000;3303
2024-11-10 00:00:00.000;3303
2024-11-11 00:00:00.000;3303
2024-11-12 00:00:00.000;3303
2024-11-13 00:00:00.000;3303
2024-11-14 00:00:00.000;3303
2024-11-15 00:00:00.000;3304
2024-11-17 00:00:00.000;3304
2024-11-18 00:00:00.000;3308
2024-11-19 00:00:00.000;3307
2024-11-20 00:00:00.000;3306
2024-11-21 00:00:00.000;3306
2024-11-22 00:00:00.000;3305
